LANG_ID,C_ID,PLANT_ID,WH_ID,PARTNER_TYP,PARTNER_CODE,PARTNER_NM,ADD_1,ADD_2,Zone ,COUNTRY,STATE,PH_NO,FX_NO,MAIL_ID,REF_TXT,LOCATION,LATITUDE,LONGITUDE,ST_TYP_ID,ST_BIN,STATUS_ID,Isdeleted,CTD_BY,CTD_ON,UTD_BY,UTD_ON
Language ID,Company Code ID,Plant ID,Warehouse ID,Business Parnter type,Partner Code,Partner Name ,Address 1,Address 2,Zone ,Country,State,Phone Number,Fax Number,E-Mail ID,Reference Text,Location ,Latitude,Longitude,Storage Type ID,Storage Bin ,Status ID,Deletion Indicator,created by,created on,updated by,updated on
NVARCHAR(5),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),INTEGER,NVARCHAR(50),NVARCHAR(50),NVARCHAR(5000),NVARCHAR(5000),NVARCHAR(500),NVARCHAR(50),NVARCHAR(50),NVARCHAR(500),NVARCHAR(500),NVARCHAR(500),NVARCHAR(500),NVARCHAR(500),"DECIMAL(30,15)","DECIMAL(30,15)",INTEGER,NVARCHAR(50),INTEGER,INTEGER,NVARCHAR(50),TIMESTAMP,NVARCHAR(50),TIMESTAMP
EN,1000,1001,110,1,VLT00306,GULF TRADING&REFRIGERATING CO.,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT01934,AL SADIQ SHOPPING CENTRE (CONSIGNMENT),KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VFT01167,"NEW OCEAN INDUSTRIAL(picture,bowl) L/C 06/824995",CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VLT00644,MARAFIE SONS CO. CLEANING EQUP (AL RAYADH GROUP),KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT02473,AL GHANNAM INTERNATIONAL UNITED CO (CONSIGNMENT),KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT02587,ROYAL HOUSE (CONSIGNMENT),KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VLT01126,LONG ARM CO. FOR GENERAL TRAIDNG & CONTRACTING,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VLT00080,BLACK & DECKER (OVERSEAS)DUBAI,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VLT01753,CATALYST GENERAL TRADING CO.,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VFT02307,GOODWILL (TIANJIN) TRADING COMPANY LIMITED,CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VFT01306,SAEED M.M. HUSSAIN (TEEM TRADING),CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VFT01197,SUCESSTIME(sleeping bag.rain suit)L/C GB/IMLC/03/07835,CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT01700,AL MOBADLAT INTERNATIONAL TRADING (CONSIGNMENT),KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VFT02035,DO IT BEST CORP,USA,,,USA,,,,,,,,,,,1,0,admin,,,
