LANG_ID,C_ID,PLANT_ID,WH_ID,PAR_ITM_CODE,BOM_NO,PAR_ITM_QTY,STATUS_ID,Isdeleted,CTD_BY,CTD_ON
Language ID,Company Code ID,Plant ID,Warehouse ID,Parent Item Code,BOM NUMBER,Parent item Quantity ,Status ID,Deletion Indicator,Created By ,Created on
NVARCHAR(5),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),INTEGER,"DECIMAL(30,4)",INTEGER,INTEGER,NVARCHAR(50),TIMESTAMP
EN,1000,1001,110,020302805,1000362,1,1,0,admin,
EN,1000,1001,110,020302889,1000363,1,1,0,admin,
EN,1000,1001,110,020303178,1000364,1,1,0,admin,
EN,1000,1001,110,020303235,1000365,1,1,0,admin,
EN,1000,1001,110,020303236,1000366,1,1,0,admin,
EN,1000,1001,110,020303469,1000367,1,1,0,admin,
EN,1000,1001,110,020303470,1000368,1,1,0,admin,
EN,1000,1001,110,020303471,1000369,1,1,0,admin,
EN,1000,1001,110,020303472,1000370,1,1,0,admin,
EN,1000,1001,110,020303473,1000371,1,1,0,admin,
EN,1000,1001,110,020303532,1000372,1,1,0,admin,
EN,1000,1001,110,020303533,1000373,1,1,0,admin,
EN,1000,1001,110,020303535,1000374,1,1,0,admin,
EN,1000,1001,110,020303536,1000375,1,1,0,admin,
EN,1000,1001,110,020303977,1000376,1,1,0,admin,
EN,1000,1001,110,020304176,1000377,1,1,0,admin,
EN,1000,1001,110,020304391,1000378,1,1,0,admin,
EN,1000,1001,110,020304461,1000379,1,1,0,admin,
EN,1000,1001,110,020304466,1000380,1,1,0,admin,
EN,1000,1001,110,020304657,1000381,1,1,0,admin,
EN,1000,1001,110,020304664,1000382,1,1,0,admin,
EN,1000,1001,110,020304670,1000383,1,1,0,admin,
EN,1000,1001,110,020304678,1000384,1,1,0,admin,
EN,1000,1001,110,020304796,1000385,1,1,0,admin,
EN,1000,1001,110,020305228,1000386,1,1,0,admin,
EN,1000,1001,110,020305229,1000387,1,1,0,admin,
EN,1000,1001,110,020305230,1000388,1,1,0,admin,
EN,1000,1001,110,020305313,1000389,1,1,0,admin,
EN,1000,1001,110,020306043,1000390,1,1,0,admin,
EN,1000,1001,110,020306044,1000391,1,1,0,admin,
EN,1000,1001,110,020306045,1000392,1,1,0,admin,
EN,1000,1001,110,020306046,1000393,1,1,0,admin,
EN,1000,1001,110,020306047,1000394,1,1,0,admin,
EN,1000,1001,110,020306072,1000395,1,1,0,admin,
EN,1000,1001,110,020306073,1000396,1,1,0,admin,
EN,1000,1001,110,020306074,1000397,1,1,0,admin,
EN,1000,1001,110,020306075,1000398,1,1,0,admin,
EN,1000,1001,110,020306242,1000399,1,1,0,admin,
EN,1000,1001,110,020306244,1000400,1,1,0,admin,
EN,1000,1001,110,020306657,1000401,1,1,0,admin,
EN,1000,1001,110,020306658,1000402,1,1,0,admin,
EN,1000,1001,110,020307078,1000403,1,1,0,admin,
EN,1000,1001,110,020307184,1000404,1,1,0,admin,
EN,1000,1001,110,020307591,1000405,1,1,0,admin,
EN,1000,1001,110,020307708,1000406,1,1,0,admin,
EN,1000,1001,110,020308045,1000407,1,1,0,admin,
EN,1000,1001,110,020308744,1000408,1,1,0,admin,
EN,1000,1001,110,020308745,1000409,1,1,0,admin,
EN,1000,1001,110,020309467,1000410,1,1,0,admin,
EN,1000,1001,110,020309510,1000411,1,1,0,admin,
EN,1000,1001,110,020309641,1000412,1,1,0,admin,
EN,1000,1001,110,020309852,1000413,1,1,0,admin,
EN,1000,1001,110,020309853,1000414,1,1,0,admin,
EN,1000,1001,110,020309854,1000415,1,1,0,admin,
EN,1000,1001,110,020309855,1000416,1,1,0,admin,
EN,1000,1001,110,020309856,1000417,1,1,0,admin,
EN,1000,1001,110,020309859,1000418,1,1,0,admin,
EN,1000,1001,110,020309932,1000419,1,1,0,admin,
EN,1000,1001,110,020309933,1000420,1,1,0,admin,
EN,1000,1001,110,020309934,1000421,1,1,0,admin,
EN,1000,1001,110,020309935,1000422,1,1,0,admin,
EN,1000,1001,110,020309936,1000423,1,1,0,admin,
EN,1000,1001,110,020309937,1000424,1,1,0,admin,
EN,1000,1001,110,021401002,1000425,1,1,0,admin,
EN,1000,1001,110,021401003,1000426,1,1,0,admin,
EN,1000,1001,110,021401009,1000427,1,1,0,admin,
EN,1000,1001,110,021401010,1000428,1,1,0,admin,
EN,1000,1001,110,021401030,1000429,1,1,0,admin,
EN,1000,1001,110,021401031,1000430,1,1,0,admin,
EN,1000,1001,110,021401032,1000431,1,1,0,admin,
EN,1000,1001,110,021401034,1000432,1,1,0,admin,
EN,1000,1001,110,021401039,1000433,1,1,0,admin,
EN,1000,1001,110,021401040,1000434,1,1,0,admin,
EN,1000,1001,110,021401041,1000435,1,1,0,admin,
EN,1000,1001,110,021401042,1000436,1,1,0,admin,
EN,1000,1001,110,021401043,1000437,1,1,0,admin,
EN,1000,1001,110,021401044,1000438,1,1,0,admin,
