LANG_ID,C_ID,PLANT_ID,WH_ID,ITM_CODE,PACK_BARCODE,ST_BIN,STCK_TYP_ID,SP_ST_IND_ID,BIN_CL_ID,TEXT,INV_QTY,INV_UOM,Isdeleted,IU_CTD_BY,IU_CTD_ON
Language ID,Company Code ID,Plant ID,Warehouse ID,Item code,Pack Barcode,Storage Bin ,Stock type ID,Special Stock Indicator ID,Bin Class ID,Description ,Inventory Quantity ,Inventory UOM,Deletion Indicator,Created By ,Created on
NVARCHAR(5),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),INTEGER,INTEGER,INTEGER,NVARCHAR(500),"DECIMAL(30,4)",NVARCHAR(50),INTEGER,NVARCHAR(50),TIMESTAMP
EN,1000,1001,110,208418,G190023436,GB1BB09A01,1,1,1,TIE/BELT ORGANIZER CHR,26,EA,0,admin,
EN,1000,1001,110,208419,G190023963,GB1BA11B03,1,1,1,MAPLE SUIT HANGER 3PK,51,EA,0,admin,
EN,1000,1001,110,208420,G190034036,GB1BB05A02,1,1,1,PANT/SKIRT CLIP 6PK,26,EA,0,admin,
EN,1000,1001,110,208421,G190029570,GB1BA08B02,1,1,1,VELV SHIRT HANGER 3PK,94,EA,0,admin,
EN,1000,1001,110,208422,G190023423,GB1BA08E02,1,1,1,VELV SUIT HANGER 3PK,26,EA,0,admin,
EN,1000,1001,110,208423,G190029561,GB1BA08B01,1,1,1,OVER DR FLD HANGER,38,EA,0,admin,
EN,1000,1001,110,208425,G190027053,GB1BA10A03,1,1,1,PLAS HANGER 15PK WHT,25,EA,0,admin,
EN,1000,1001,110,208426,G190023433,GB1BA12C01,1,1,1,ADJ CLOSET ROD CHR,55,EA,0,admin,
EN,1000,1001,110,208427,G190034041,GB1BB05A02,1,1,1,PLAS HANGER 15PK AQUA,26,EA,0,admin,
EN,1000,1001,110,208429,G190007028,GB1BN12A03,1,1,1,IRON BOARD COVER FLWR,1,EA,0,admin,
EN,1000,1001,110,208430,G190007046,GB1BB06C03,1,1,1,IRON BOARD COVER GRN,19,EA,0,admin,
EN,1000,1001,110,208432,G190023424,GB1BA08E02,1,1,1,LAUNDRY BAG 24x36 WHT,34,EA,0,admin,
EN,1000,1001,110,208433,G190029597,GB1BA08B01,1,1,1,SWEATER WASH BAG 23x22,33,EA,0,admin,
EN,1000,1001,110,208434,G190034039,GB1BB05A02,1,1,1,LINGERIE WASH BAG 12x18,34,EA,0,admin,
EN,1000,1001,110,208435,G190029876,GB1BB07A02,1,1,1,LAUNDRY BAG 7x5 BRA,34,EA,0,admin,
EN,1000,1001,110,208436,G190032360,GB1BC05B03,1,1,1,LAUNDRY BAG 24x36 RED,18,EA,0,admin,
EN,1000,1001,110,208437,G190032921,GB1BQ03C01,1,1,1,LAUNDRY BAG 20.9X23.6 GRY TOTE,20,EA,0,admin,
EN,1000,1001,110,208438,G190027060,GB1BB08A01,1,1,1,LAUNDRY DUFF 33.1,16,EA,0,admin,
EN,1000,1001,110,208496,G190010367,GB1BG02C03,1,1,1,WOOD FINISH DRIFTWOOD 1/2pt,32,EA,0,admin,
EN,1000,1001,110,208504,G180012410,GB1BA02A01,1,1,1,GROUT FINISH 8OZ WHT,215,EA,0,admin,
EN,1000,1001,110,208505,G190009085,GB1BA05E01,1,1,1,GROUT FINISH 8OZ ALMND,221,EA,0,admin,
EN,1000,1001,110,208506,G190001091,GB1BA07A01,1,1,1,GROUT FINISH 8OZ DRK BRN,135,EA,0,admin,
EN,1000,1001,110,208507,G180023767,GB1BB05B01,1,1,1,GROUT FINISH 8OZ SLT,161,EA,0,admin,
EN,1000,1001,110,208508,G180016474,GB1BA07D03,1,1,1,GROUT FINISH 8OZ CHARCO,131,EA,0,admin,
EN,1000,1001,110,208520,G190010614,GB1BL03B02,1,1,1,WOOD FINISH NATURAL 1/2pt,79,EA,0,admin,
EN,1000,1001,110,208553,G190010398,GB1BL03B01,1,1,1,WOOD FINISH GOLDEN OAK 1/2pt,108,EA,0,admin,
EN,1000,1001,110,208559,G190023443,GB1BA16B03,1,1,1,2 SIDED LINT BRUSH,86,EA,0,admin,
EN,1000,1001,110,208587,G190010382,GB1BL02B01,1,1,1,WOOD FINISH PROVINCIAL 1/2pt,93,EA,0,admin,
EN,1000,1001,110,208611,G190012204,GB1BF02B02,1,1,1,SPRAY PAINT 12OZ AERO SHELL FINISH,24,EA,0,admin,
EN,1000,1001,110,208629,G190010400,GB1BB01B03,1,1,1,SHELLAC 1/2PT 3LB CLR WHT,150,EA,0,admin,
EN,1000,1001,110,208645,G190010401,GB1BB01B02,1,1,1,CLR SHELLAC 3LB QT,52,EA,0,admin,
EN,1000,1001,110,208660,TV00341422,GB1BA03C01,1,1,1,AMBER SHELLAC 1/2PT 3LB,188,EA,0,admin,
EN,1000,1001,110,208686,G190010417,GB1BB02B01,1,1,1,AMBER SHELLAC 3LB QT,64,EA,0,admin,
EN,1000,1001,110,208710,G190011932,GB1BE03A03,1,1,1,ACETONE PT,189,EA,0,admin,
EN,1000,1001,110,208728,G190011929,GB1BA03B02,1,1,1,ACETONE QT,68,EA,0,admin,
EN,1000,1001,110,209126,G190031859,GB1BA16E02,1,1,1,MOTH BAR W/HANGER LAVANDOR 6OZ,16,EA,0,admin,
EN,1000,1001,110,209130,TV00174479,GB1BN18A02,1,1,1,RANGE PLUG 30/50A BLK,2,EA,0,admin,
EN,1000,1001,110,209216,TV00168999,GB1BN13B01,1,1,1,SM Men BLK Jers Glove slip dots no 302 SMALL,7,EA,0,admin,
EN,1000,1001,110,209221,G190008521,GB1BA03B02,1,1,1,MURIATIC ACID GAL,80,EA,0,admin,
EN,1000,1001,110,209239,G180022280,GB1BC02A01,1,1,1,MURIATIC ACID QT,244,EA,0,admin,
EN,1000,1001,110,209260,TV00360518,GB1BA15A01,1,1,1,FIRE STARTER CHARCOAL 24PK,131,EA,0,admin,
EN,1000,1001,110,209261,G180020863,GB1BB06D02,1,1,1,GRILL COVER KAMANDO JOE BLK,13,EA,0,admin,
EN,1000,1001,110,209565,TV00260580,GB1BS07E01,1,1,1,SR TURQ ENAMEL GLS 12OZ,18,EA,0,admin,
EN,1000,1001,110,209566,TV00260704,GB1BF02C03,1,1,1,UNIV BOND PRIMER 12OZ,21,EA,0,admin,
EN,1000,1001,110,209568,TV00261742,GB1BS11C01,1,1,1,SR SAT COATING SPRAY 12OZ,6,EA,0,admin,
EN,1000,1001,110,209569,G180018049,GB1BN05B03,1,1,1,FLUSHER FIXER KIT,6,EA,0,admin,
EN,1000,1001,110,209595,TV00329194,GB1BB05C01,1,1,1,BIRD/MICE CAT TOY 4.5,193,EA,0,admin,
EN,1000,1001,110,209598,TV00285752,GB1BC16C03,1,1,1,PARACHUTE BAG 10x6.5,39,EA,0,admin,
EN,1000,1001,110,209599,TV00321742,GB1BA04A02,1,1,1,HD CANVAS BAG/ZIPPER,68,EA,0,admin,
EN,1000,1001,110,209600,TV00321746,GB1BA04A02,1,1,1,HD POLY ZIP BAG 3PC,48,EA,0,admin,
EN,1000,1001,110,209602,TV00369974,GB1BF18D01,1,1,1,HANDYMAN RIG 21x4.5x10,9,EA,0,admin,
EN,1000,1001,110,209605,TV00321752,GB1BA04A02,1,1,1,TOOL POUCH 7.5x2x9.5,26,EA,0,admin,
EN,1000,1001,110,209606,TV00321777,GB1BA04A02,1,1,1,UTIL POUCH/FLAP 5x2x9,37,EA,0,admin,
EN,1000,1001,110,209607,TV00321779,GB1BA04A02,1,1,1,TOOL SHEATH 4.25x1.5x7,37,EA,0,admin,
EN,1000,1001,110,209608,TV00347669,GG1GH17A01,1,1,1,HAMMER HOLDER LTHR,15,EA,0,admin,
EN,1000,1001,110,209609,TV00238420,GB1BN14A08,1,1,1,WORK BAG 1-3/4 LTHR,33,EA,0,admin,
EN,1000,1001,110,209610,TV00330694,GB1BN24A06,1,1,1,WIDE WORK BELT 2,18,EA,0,admin,
EN,1000,1001,110,209612,TV00284966,GB1BB16A01,1,1,1,SUPPORT BAG 38-47 LG,56,EA,0,admin,
EN,1000,1001,110,209613,TV00301973,GB1BN06A08,1,1,1,SUPPORT BAG 32-38 MED,43,EA,0,admin,
EN,1000,1001,110,209614,TV00294550,GB1BN25A08,1,1,1,GATE MOUTH TOOL BAG 13,19,EA,0,admin,
EN,1000,1001,110,209615,TV00292065,GB1BB12C01,1,1,1,GATE MOUTH TOOL BAG 16,23,EA,0,admin,
EN,1000,1001,110,209616,TV00350701,GB1BC04D02,1,1,1,GATE MOUTH TOOL BAG 20,34,EA,0,admin,
EN,1000,1001,110,209617,TV00350610,GB1BB13C03,1,1,1,GATE MOUTH SOFT TOTE 16,13,EA,0,admin,
EN,1000,1001,110,209618,TV00321775,GB1BA04A02,1,1,1,RULER LIARS SUSPENDERS,64,EA,0,admin,
EN,1000,1001,110,209620,TV00238416,GB1BN14A08,1,1,1,SUSPENDERS WEB BLK,69,EA,0,admin,
EN,1000,1001,110,209621,TV00244542,GB1BI13D03,1,1,1,GATE MOUTH TOOL BAG 14',18,EA,0,admin,
EN,1000,1001,110,209622,TV00286174,GB1BC22B02,1,1,1,BIG DADDY BAG 26x11x12,18,EA,0,admin,
EN,1000,1001,110,209623,TV00244540,GB1BC09B03,1,1,1,HOP ALONG BAG 14x9x9,19,EA,0,admin,
EN,1000,1001,110,209624,TV00238412,GB1BN14B04,1,1,1,CANVAS WRENCH ROLL,66,EA,0,admin,
EN,1000,1001,110,209625,TV00285602,GB1BA08E01,1,1,1,CANVAS TOOL ROLL 18oz,49,EA,0,admin,
EN,1000,1001,110,209627,TV00244528,GB1BA17C02,1,1,1,PRO OVAL TOOL BAG 14',18,EA,0,admin,
EN,1000,1001,110,209628,TV00321778,GB1BA04A02,1,1,1,CANVAS WAIST 18OZ,46,EA,0,admin,
EN,1000,1001,110,209629,TV00333243,GB1BN06A10,1,1,1,CANVAS BIB APRON 18OZ,65,EA,0,admin,
