PARTNER_CODE,LANG_ID,C_ID,PLANT_ID,WH_ID,ITEM_CODE,PARTNER_TYP,PARTNER_ITM_BAR,MFR_CODE,MFR_NAME,BRND_NM,PARTNER_NAME,PARTNER_ITM_CODE,PARTNER_ITM_BAR_CODE,MFR_BAR,STK,STK_UOM,STATUS_ID,REF_FIELD_1,REF_FIELD_2,REF_FIELD_3,IS_DELETED,CTD_BY
TAI,EN,21,222,200,92272799,1,92272799,TAI,TAI,,TAI,92272799,92272799,92272799,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,94521063,1,94521063,GMO,GMO,,GMO,94521063,94521063,94521063,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,94526075,1,94526075,GMO,GMO,,GMO,94526075,94526075,94526075,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,94544479,1,94544479,GMO,GMO,,GMO,94544479,94544479,94544479,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,94706854,1,94706854,GMO,GMO,,GMO,94706854,94706854,94706854,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,94770229,1,94770229,GMO,GMO,,GMO,94770229,94770229,94770229,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,95019918,1,95019918,GMO,GMO,,GMO,95019918,95019918,95019918,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,95019919,1,95019919,GMO,GMO,,GMO,95019919,95019919,95019919,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,95358526,1,95358526,GMO,GMO,,GMO,95358526,95358526,95358526,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,95400527,1,95400527,GMO,GMO,,GMO,95400527,95400527,95400527,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,95418203,1,95418203,TAI,TAI,,TAI,95418203,95418203,95418203,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,95430136,1,95430136,GMO,GMO,,GMO,95430136,95430136,95430136,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,95489536,1,95489536,GMO,GMO,,GMO,95489536,95489536,95489536,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,95953139,1,95953139,GMO,GMO,,GMO,95953139,95953139,95953139,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,95978858,1,95978858,GMO,GMO,,GMO,95978858,95978858,95978858,0,ECH,0,,,,0,ADMIN
ITM,EN,21,222,200,96253555,1,96253555,ITM,ITM,,ITM,96253555,96253555,96253555,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,22803839,1,96476549,GMO,GMO,,GMO,96476549,96476549,96476549,0,ECH,0,,,,0,ADMIN
ITM,EN,21,222,200,96476979,1,96476979,ITM,ITM,,ITM,96476979,96476979,96476979,0,ECH,0,,,,0,ADMIN
WKG,EN,21,222,200,96553424,1,96553424,WKG,WKG,,WKG,96553424,96553424,96553424,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,96648783,1,96648783,GMO,GMO,,GMO,96648783,96648783,96648783,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,96863981,1,96863981,TAI,TAI,,TAI,96863981,96863981,96863981,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,68293716AC,1,100423003,TAI,TAI,,TAI,100423003,100423003,100423003,0,ECH,0,,,,0,ADMIN
